game_id,total_moves,analysis_timestamp,average_depth,total_nodes,total_time,blunders,mistakes,inaccuracies,best_moves,good_moves,suboptimal_moves,average_centipawn_loss,opening_accuracy,opening_blunders,opening_avg_complexity,middlegame_accuracy,middlegame_blunders,middlegame_avg_complexity,endgame_accuracy,endgame_blunders,endgame_avg_complexity,critical_moments,average_position_complexity,max_position_complexity,evaluation_volatility,original_game_id,original_result,original_player_one,original_player_two,original_player_one_time,original_player_two_time,original_player_one_score,original_player_two_score,original_player_one_illegal_moves,original_player_two_illegal_moves,original_player_one_legal_moves,original_player_two_legal_moves,original_player_one_resignation,original_player_two_resignation,original_player_one_failed_to_find_legal_move,original_player_two_failed_to_find_legal_move,original_game_title,original_number_of_moves,original_time_taken,original_total_moves,original_illegal_moves,original_player_one_illegal_moves_details,original_player_two_illegal_moves_details,original_source_file
1749432187-9914,103,2025-06-26T13:47:03.984023,30.864077669902912,14892552,8.668000000000001,1,4,8,34,7,62,16.533980582524272,94.73333333333333,0,35.73516066880057,92.22222222222223,1,45.211189998208376,90.11475409836065,0,42.31637918098389,84,42.11678320411312,82.0,4732.116589311432,1749432187-9914,1-0,adam_lichess_16layers.pt,Stockfish 0,,40000 nodes,1,0,0,0,52,52,False,False,False,False,adam_lichess_16layers.pt vs. Stockfish 0,52,4.518391132354736,52,0,[],[],adam_lichess_16layers_pt_vs_stockfish_sweep.csv
1749432190-7465,85,2025-06-26T13:47:11.360374,29.75294117647059,12224739,7.0710000000000015,0,2,3,32,10,43,10.24705882352941,92.82608695652173,0,38.32743867126244,91.15151515151516,0,50.48437757932204,94.0,0,50.268021703326426,79,47.12103739944858,76.0,4233.564664476557,1749432190-7465,1-0,adam_lichess_16layers.pt,Stockfish 0,,40000 nodes,1,0,0,0,43,43,False,False,False,False,adam_lichess_16layers.pt vs. Stockfish 0,43,3.3593862056732178,43,0,[],[],adam_lichess_16layers_pt_vs_stockfish_sweep.csv
1749432192-4572,87,2025-06-26T13:47:18.526929,23.126436781609197,12803237,6.884000000000001,1,2,4,28,2,57,116.88505747126437,94.11111111111111,0,39.11627387629703,92.67857142857143,0,46.60238912102585,99.26829268292683,1,58.180361593175085,82,50.50982356876148,88.0,4288.2823727319765,1749432192-4572,1-0,adam_lichess_16layers.pt,Stockfish 0,,40000 nodes,1,0,0,0,44,44,False,False,False,False,adam_lichess_16layers.pt vs. Stockfish 0,44,4.643858909606934,44,0,[],[],adam_lichess_16layers_pt_vs_stockfish_sweep.csv
1749432192-2133,34,2025-06-26T13:47:22.218271,20.058823529411764,4953740,3.4630000000000005,2,1,0,17,3,14,893.1764705882352,97.58620689655173,0,33.89343334656385,100.0,2,41.12265485051654,0.0,0,0.0,17,34.95655415596866,55.00000000000001,2956.8030623430045,1749432192-2133,0-1,adam_lichess_16layers.pt,Stockfish 0,,40000 nodes,0,1,0,0,17,17,False,False,False,False,adam_lichess_16layers.pt vs. Stockfish 0,18,1.6029648780822754,17,0,[],[],adam_lichess_16layers_pt_vs_stockfish_sweep.csv
1749432195-8849,60,2025-06-26T13:47:29.046842,14.066666666666666,9006677,6.578000000000005,9,3,3,22,3,35,246.88333333333333,88.41176470588235,0,36.027415268551806,77.53846153846153,9,46.73221404383001,0.0,0,0.0,46,40.666161404505694,64.0,1321.4016909664106,1749432195-8849,0-1,adam_lichess_16layers.pt,Stockfish 0,,40000 nodes,0,1,4,0,29,30,False,False,False,False,adam_lichess_16layers.pt vs. Stockfish 0,31,2.849341630935669,30,0,"[{'move_number': 23, 'attempted_move': 'Re1', 'error_type': 'parse_error', 'error_message': ""illegal san: 'Re1' in r6r/1p1Np1kp/2p1P1p1/p2p1p2/3q4/1PN1RP1Q/PRP3PP/6K1 w - - 0 23"", 'attempt': 1}, {'move_number': 23, 'attempted_move': 'Re1', 'error_type': 'parse_error', 'error_message': ""illegal san: 'Re1' in r6r/1p1Np1kp/2p1P1p1/p2p1p2/3q4/1PN1RP1Q/PRP3PP/6K1 w - - 0 23"", 'attempt': 2}, {'move_number': 23, 'attempted_move': 'Re1', 'error_type': 'parse_error', 'error_message': ""illegal san: 'Re1' in r6r/1p1Np1kp/2p1P1p1/p2p1p2/3q4/1PN1RP1Q/PRP3PP/6K1 w - - 0 23"", 'attempt': 3}, {'move_number': 23, 'attempted_move': 'Re1', 'error_type': 'parse_error', 'error_message': ""illegal san: 'Re1' in r6r/1p1Np1kp/2p1P1p1/p2p1p2/3q4/1PN1RP1Q/PRP3PP/6K1 w - - 0 23"", 'attempt': 4}]",[],adam_lichess_16layers_pt_vs_stockfish_sweep.csv
1749432195-6266,81,2025-06-26T13:47:36.269021,38.44444444444444,11472977,6.875,2,2,1,32,5,44,228.41975308641975,95.14285714285714,0,36.54534178609514,87.21428571428571,2,41.09620677877363,100.0,0,45.15171686821242,74,40.81757735610264,67.06278674686462,4998.414179549204,1749432195-6266,1-0,adam_lichess_16layers.pt,Stockfish 0,,40000 nodes,1,0,0,0,41,41,False,False,False,False,adam_lichess_16layers.pt vs. Stockfish 0,41,3.4222633838653564,41,0,[],[],adam_lichess_16layers_pt_vs_stockfish_sweep.csv
1749432198-3031,61,2025-06-26T13:47:41.628882,28.278688524590162,8800030,5.090000000000002,0,0,2,28,4,29,5.836065573770492,95.06666666666666,0,35.13021155704061,98.62962962962963,0,57.7455811674991,100.0,0,40.548989794855665,38,45.49562290841173,82.0,4266.973215641805,1749432198-3031,1-0,adam_lichess_16layers.pt,Stockfish 0,,40000 nodes,1,0,0,0,31,31,False,False,False,False,adam_lichess_16layers.pt vs. Stockfish 0,31,2.5035293102264404,31,0,[],[],adam_lichess_16layers_pt_vs_stockfish_sweep.csv
1749432198-8964,75,2025-06-26T13:47:48.303949,21.88,11003762,6.389,1,1,7,18,3,54,16.68,90.4,0,37.66244974741135,90.59183673469387,1,59.19761542470517,100.0,0,51.23932652990377,57,52.818241465842696,94.0,4205.079389923043,1749432198-8964,1-0,adam_lichess_16layers.pt,Stockfish 0,,40000 nodes,1,0,0,0,38,38,False,False,False,False,adam_lichess_16layers.pt vs. Stockfish 0,38,2.890810251235962,38,0,[],[],adam_lichess_16layers_pt_vs_stockfish_sweep.csv
1749432200-4648,45,2025-06-26T13:47:52.518169,41.06666666666667,6168393,3.932000000000001,0,3,1,14,4,27,17.68888888888889,94.3076923076923,0,40.83639113451148,82.47368421052632,0,47.72888392722364,0.0,0,0.0,31,43.74655475810106,76.0,3971.0733416098533,1749432200-4648,1-0,adam_lichess_16layers.pt,Stockfish 0,,40000 nodes,1,0,0,0,23,23,False,False,False,False,adam_lichess_16layers.pt vs. Stockfish 0,23,1.9319822788238523,23,0,[],[],adam_lichess_16layers_pt_vs_stockfish_sweep.csv
1749432201-5185,71,2025-06-26T13:47:59.611006,18.239436619718308,10564030,6.827000000000002,0,1,8,22,5,44,15.591549295774648,82.27272727272727,0,34.104631655006,96.21212121212122,0,46.63414030074846,100.0,0,64.63687306791489,29,42.07836394196439,88.00000000000001,2978.5939522124054,1749432201-5185,1-0,adam_lichess_16layers.pt,Stockfish 0,,40000 nodes,1,0,0,0,36,36,False,False,False,False,adam_lichess_16layers.pt vs. Stockfish 0,36,3.085326671600342,36,0,[],[],adam_lichess_16layers_pt_vs_stockfish_sweep.csv
