game_id,transcript,result,player_one,player_two,player_one_time,player_two_time,player_one_score,player_two_score,player_one_illegal_moves,player_two_illegal_moves,player_one_legal_moves,player_two_legal_moves,player_one_resignation,player_two_resignation,player_one_failed_to_find_legal_move,player_two_failed_to_find_legal_move,game_title,number_of_moves,time_taken,total_moves,illegal_moves,player_one_illegal_moves_details,player_two_illegal_moves_details
1749431021-9759,;1. e4 e6 2. d4 a6 3. Nf3 Nf6 4. e5 Nd5 5. c4 Nb6 6. c5 Nd5 7. Bc4 b5 8. Bxd5 exd5 9. O-O Bb7 10. Nc3 Nc6 11. Nxd5 Ne7 12. Nxe7 Bxf3 13. Qxf3 a5 14. Nd5 Ra6 15. Bg5 Qxg5 16. Nxc7+ Kd8 17. Nxa6 f5 18. exf6 d5 19. fxg7 Bxg7 20. Rfe1 Rf8 21. Qe3 Qxe3 22. Rxe3 Kd7 23. Rae1 Kc8 24. Re8+ Rxe8 25. Rxe8+ Kd7 26. Rg8 Bf6 27. Rf8 Bxd4 28. Rf7+ Ke8 29. Rxh7 Be5 30. c6 a4 31. c7 Bxc7 32. Nxc7+ Kd8 33. Nxb5 Ke8 34. Nc3 d4 35. Nxa4 Kd8 36. Nc5 Ke8 37. Ne6 d3 38. Rh8+ Kf7 39. Ng5+ Ke7 40. Rh6 Kf8 41. Rd6 Kg7 42. Rxd3 Kg6 43. Ne4 Kg7 44. a4 Kg6 45. a5 Kh6 46. a6 Kg7 47. a7 Kf7 48. a8=Q Kg6 49. Qa5 Kf7 50. Rd6 Ke8 51. Qa7 Kf8 52. Rd8#,1-0,adam_lichess_8layers.pt,Stockfish 0,,40000 nodes,1,0,0,0,52,52,False,False,False,False,adam_lichess_8layers.pt vs. Stockfish 0,52,3.0377166271209717,52,0,[],[]
1749431023-3146,;1. e4 c5 2. Nf3 Nf6 3. Nc3 Nc6 4. d4 d5 5. exd5 Nb4 6. dxc5 e6 7. dxe6 Bxc5 8. Qxd8+ Kxd8 9. exf7 Nxc2+ 10. Kd1 Nb4 11. Bg5 Ke7 12. Bc4 Be6 13. Bxe6 Rhd8+ 14. Ke2 Kxe6 15. Rhe1 Nc2 16. Kf1+ Nxe1 17. Rxe1+ Kxf7 18. Ne5+ Kg8 19. Bxf6 gxf6 20. Ng4 Bd4 21. Ne4 Kg7 22. b3 Rac8 23. Ng3 Kh8 24. Nf5 Bb2 25. Ne7 Bc3 26. Re2 Rd1+ 27. Re1 Rxe1#,0-1,adam_lichess_8layers.pt,Stockfish 0,,40000 nodes,0,1,0,0,27,27,False,False,False,False,adam_lichess_8layers.pt vs. Stockfish 0,28,2.2086281776428223,27,0,[],[]
1749431026-5196,;1. e4 e6 2. d4 d5 3. e5 Bd7 4. Nf3 Be7 5. Bd3 c5 6. c3 Nc6 7. O-O Qc7 8. Be3 Nh6 9. Bxh6 gxh6 10. Qd2 f5 11. Qxh6 O-O-O 12. Nbd2 Rdg8 13. Nb3 Rg6 14. Qd2 Rhg8 15. g3 Rg4 16. Kh1 c4 17. Bxf5 exf5 18. Nc5 Nd8 19. Nxd7 Qxd7 20. b3 Re4 21. bxc4 dxc4 22. Rab1 Qd5 23. Kg2 Rg6 24. Rb2 Ne6 25. Rfb1 Reg4 26. Rxb7 Nf4+ 27. Kf1 Qxf3 28. Rb8+ Kd7 29. R1b7+ Ke6 30. Rxe7+ Kxe7 31. Rb7+ Qxb7 32. Qxf4 Rxf4 33. gxf4 Qb1+ 34. Ke2 Qd3+ 35. Ke1 Rg1#,0-1,adam_lichess_8layers.pt,Stockfish 0,,40000 nodes,0,1,0,0,35,35,False,False,False,False,adam_lichess_8layers.pt vs. Stockfish 0,36,2.603930950164795,35,0,[],[]
1749431032-4153,;1. e4 c5 2. Nf3 d6 3. d4 g6 4. dxc5 Nc6 5. cxd6 Be6 6. dxe7 Qxd1+ 7. Kxd1 Bg7 8. Bb5 Nxe7 9. Bxc6+ Nxc6 10. Nc3 O-O-O+ 11. Bd2 Bxc3 12. bxc3 Rhe8 13. Ke2 f5 14. e5 Bc4+ 15. Ke1 Nxe5 16. Nxe5 Rxe5+ 17. Be3 f4 18. Rd1 Rxd1+ 19. Kxd1 fxe3 20. fxe3 Be6 21. Rf1 Bf5 22. Kd2 Rd5+ 23. Kc1 Rc5 24. Kb2 Ra5 25. Rf4 Re5 26. e4 Rxe4 27. Rxe4 Bxe4 28. g3 Bg2 29. Kb3 Bc6 30. Kc4 Kc7 31. Kd4 Kb6 32. Ke5 h6 33. Kf6 h5 34. Kxg6 Bf3 35. Kg5 Kc6 36. Kf4 Be2 37. Ke3 Bb5 38. Kd4 Bf1 39. c4 b6 40. c3 Be2 41. a3 Bg4 42. Ke5 Be2 43. Kf4 Bg4 44. Kg5 Kc5 45. Kf4 Kc6 46. Ke5 Kc5 47. Kf4 Bd7 48. Ke5 Bh3 49. Kf4 a5 50. Ke5 Bd7 51. Kf4 Bh3 52. Ke5 Bg4 53. Kf4 Be6 54. Ke5 Bg4 55. Kf4 Be6 56. Ke5 Bh3 57. Kf4 a4 58. Ke5 Bg4 59. Kf4 Bh3 60. Ke5 Bg4 61. Kf4 Bd7 62. Ke5 Bh3 63. Kf4 Bg4 64. Ke5 Kxc4 65. Kf4 Bh3 66. Ke5 Kb3 67. Kf4 Kxc3 68. Ke5 b5 69. Kf4 Kb2 70. Ke5 Kxa3 71. Kf4 Bg2 72. Kg5 Bf1 73. Kxh5 Kb2 74. Kg5 Kb3 75. h4 a3 76. h5 a2 77. h6 Bd3 78. h7 a1=B 79. h8=Q Bxh8 80. Kf4 Ka4 81. Ke3 Bg7 82. Kxd3 b4 83. Kc2 Ka3 84. Kb1 Kb3 85. Kc1 Bb2+ 86. Kd2 Ka3 87. Kc2 Bg7 88. Kb1 b3 89. Kc1 Bf8 90. Kb1 Bg7,*,adam_lichess_8layers.pt,Stockfish 0,,40000 nodes,0.5,0.5,0,0,90,90,False,False,False,False,adam_lichess_8layers.pt vs. Stockfish 0,91,5.788595676422119,90,0,[],[]
1749431035-4740,;1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Ne7 5. Nf3 Nbc6 6. Bd3 cxd4 7. cxd4 Nf5 8. Bxf5 exf5 9. O-O Be7 10. Nc3 g5 11. Qb3 Be6 12. Qxb7 Nb4 13. Qb5+ Bd7 14. Qe2 h6 15. a3 a5 16. axb4 Rb8 17. bxa5 g4 18. Nd2 f4 19. Nxd5 g3 20. fxg3 fxg3 21. hxg3 Bb5 22. Qf3 Bxf1 23. Nxf1 O-O 24. Nxe7+ Kh7 25. Nf5 Kh8 26. Bxh6 Kg8 27. Bxf8 Kxf8 28. Nd6 Qc7 29. Qxf7+ Qxf7 30. Nxf7 Ke8 31. Nd6+ Ke7 32. Ne3 Kd7 33. Nec4 Kc6 34. Ne4 Rg8 35. Ned6 Ra8 36. Nb6 Rxa5 37. Rxa5 Kxb6 38. Ra8 Kc6 39. Rc8+ Kb6 40. Rc5 Ka6 41. b4 Ka7 42. b5 Kb8 43. b6 Ka8 44. Rc7 Kb8 45. Rh7 Ka8 46. Rh8#,1-0,adam_lichess_8layers.pt,Stockfish 0,,40000 nodes,1,0,0,0,46,46,False,False,False,False,adam_lichess_8layers.pt vs. Stockfish 0,46,2.886971950531006,46,0,[],[]
1749431037-2979,;1. e4 e5 2. Nf3 Bc5 3. Bc4 Nf6 4. Nxe5 Bxf2+ 5. Kxf2 d6 6. Nxf7 Nxe4+ 7. Kg1 Qd7 8. Nxh8 Qf5 9. Qf3 a6 10. Qxf5 Bxf5 11. d3 Nf6 12. Bg5 h6 13. Bxf6 gxf6 14. Nf7 h5 15. Nh6 Bg6 16. Nc3 Nc6 17. Re1+ Ne7 18. Nd5 Rc8 19. Nxe7 Rb8 20. Nxg6+ Kd7 21. Nf5 Re8 22. Rxe8 Kxe8 23. Ng7+ Kd8 24. Ne6+ Ke8 25. Nxc7+ Kd8 26. Ne6+ Ke8 27. Ng7+ Kd7 28. Nxh5 Ke8 29. Nxf6+ Kd8 30. Ne4 Kd7 31. Nf6+ Kc8 32. Ne8 b5 33. Be6+ Kd8 34. Nxd6 Kc7 35. Ne8+ Kc6 36. Kf2 b4 37. Re1 a5 38. Bd5+ Kxd5 39. Nc7+ Kc5 40. Ne6+ Kc6 41. Nd4+ Kb7 42. Re7+ Ka8 43. Nc6 a4 44. Ra7#,1-0,adam_lichess_8layers.pt,Stockfish 0,,40000 nodes,1,0,3,0,43,44,False,False,False,False,adam_lichess_8layers.pt vs. Stockfish 0,44,2.4535181522369385,44,0,"[{'move_number': 36, 'attempted_move': 'Nd4+', 'error_type': 'parse_error', 'error_message': ""illegal san: 'Nd4+' in 4N3/8/p1k1B1N1/1p6/8/3P4/PPP3PP/6KR w - - 3 36"", 'attempt': 1}, {'move_number': 36, 'attempted_move': 'Nf7', 'error_type': 'parse_error', 'error_message': ""illegal san: 'Nf7' in 4N3/8/p1k1B1N1/1p6/8/3P4/PPP3PP/6KR w - - 3 36"", 'attempt': 2}, {'move_number': 36, 'attempted_move': 'Nf5', 'error_type': 'parse_error', 'error_message': ""illegal san: 'Nf5' in 4N3/8/p1k1B1N1/1p6/8/3P4/PPP3PP/6KR w - - 3 36"", 'attempt': 3}]",[]
1749431042-3314,;1. e4 e6 2. d4 d6 3. Nf3 a6 4. Bd3 Bd7 5. O-O g6 6. c4 h6 7. Nc3 Bg7 8. Be3 Nc6 9. Qd2 Nce7 10. Rad1 Nf6 11. e5 Nh5 12. exd6 cxd6 13. d5 e5 14. Ne4 Bg4 15. Be2 Nf5 16. h3 Bxf3 17. Bxf3 Nf6 18. Nxf6+ Ke7 19. Ne4 Kf8 20. g4 Nxe3 21. fxe3 b6 22. Ng3 h5 23. gxh5 Qh4 24. Qg2 Ke7 25. Ne4 Bh6 26. Qg3 Qxg3+ 27. Nxg3 Rag8 28. Kf2 Bg5 29. Ne4 Bf6 30. hxg6 Bh4+ 31. Ke2 f5 32. Nc3 Rg7 33. Rg1 e4 34. Bg2 Rhg8 35. Bf1 b5 36. cxb5 f4 37. exf4 Rxg6 38. Rxg6 Rxg6 39. bxa6 Rg1 40. Nxe4 Rg7 41. b4 Rg8 42. b5 Ke8 43. b6 Rg6 44. b7 Re6 45. b8=Q+ Kf7 46. Qc7+ Kg6 47. Qxd6 Rxd6 48. Nxd6 Bg3 49. Ne4 Bxf4 50. d6 Kf5 51. d7 Kxe4 52. d8=Q Be5 53. Qd5+ Kf5 54. Qxe5+ Kxe5 55. Rd5+ Kxd5 56. a7 Kd4 57. a8=Q Kc5 58. Qd8 Kc4 59. Qd3+ Kc5 60. Qc3+ Kd6 61. Qd4+ Kc6 62. Qc4+ Kd6 63. Qd5+ Kxd5 64. h4 Kd6 65. h5 Kc5 66. h6 Kb4 67. h7 Kc3 68. h8=Q+ Kb4 69. Qd4+ Ka3 70. Qc3+ Kxa2 71. Qc2+ Ka1 72. Qc1+ Ka2 73. Qc2+ Ka3 74. Qc3+ Ka4 75. Qc4+ Ka5 76. Qc5+ Ka6 77. Qc6+ Ka5 78. Qc5+ Ka6 79. Qc6+ Ka5 80. Qc5+ Ka6 81. Qc6+ Ka5 82. Qc5+ Ka6 83. Qc6+ Ka5 84. Qc5+,1/2-1/2,adam_lichess_8layers.pt,Stockfish 0,,40000 nodes,1/2,1/2,0,0,84,84,False,False,False,False,adam_lichess_8layers.pt vs. Stockfish 0,84,5.0081751346588135,84,0,[],[]
1749431045-4209,;1. e4 e6 2. d4 d5 3. e5 Ne7 4. Nf3 h6 5. Bd3 b6 6. O-O a6 7. c4 Bb7 8. cxd5 exd5 9. Nc3 Nbc6 10. Be3 g6 11. Qd2 Bg7 12. Rac1 Qd7 13. a3 O-O-O 14. b4 Kb8 15. b5 Nxe5 16. Nxe5 Qe8 17. bxa6 Bxa6 18. Bxa6 Nf5 19. Bb5 Rg8 20. Bxe8 Rgxe8 21. Nc6+ Ka8 22. Nxd8 Kb8 23. Nc6+ Kb7 24. Nb4 Re6 25. Nbxd5 Nxe3 26. fxe3 Rc6 27. Ne7 Bf8 28. Nxc6 Bxa3 29. Ne5 f5 30. Nxg6 Bxc1 31. Rxc1 c6 32. Ne5 h5 33. Na4 Ka8 34. Rxc6 b5 35. Nb6+ Kb7 36. Qc3 Ka6 37. Qc5 f4 38. Nbd7 Kb7 39. Qb6+ Ka8 40. Rc8#,1-0,adam_lichess_8layers.pt,Stockfish 0,,40000 nodes,1,0,0,0,40,40,False,False,False,False,adam_lichess_8layers.pt vs. Stockfish 0,40,2.4414172172546387,40,0,[],[]
1749431046-8918,;1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Ng5 Bc5 5. Nxf7 Bxf2+ 6. Kxf2 Nxe4+ 7. Kg1 Qh4 8. Qf3 Nd4 9. Qf1 Rf8 10. d3 b5 11. Bd5 Bb7 12. Bxe4 Bxe4 13. dxe4 Rxf7 14. Qd3 Qe1+ 15. Qf1 Rxf1#,0-1,adam_lichess_8layers.pt,Stockfish 0,,40000 nodes,0,1,0,0,15,15,False,False,False,False,adam_lichess_8layers.pt vs. Stockfish 0,16,1.1413161754608154,15,0,[],[]
1749431048-6412,;1. e4 e5 2. Nf3 d5 3. exd5 e4 4. Nd4 Bc5 5. Nb3 Bb6 6. d3 Qxd5 7. Nc3 Qd7 8. Nxe4 Ne7 9. Be2 Nbc6 10. O-O a5 11. Be3 f5 12. Bxb6 cxb6 13. Ng3 Ng6 14. Bh5 a4 15. Nd2 O-O 16. Nc4 Qd8 17. Bxg6 b5 18. Ne3 f4 19. Ne4 hxg6 20. Ng4 f3 21. gxf3 b4 22. Kh1 a3 23. b3 Nd4 24. Ne5 Ra5 25. Nxg6 Nxf3 26. Nxf8 Bg4 27. Ng3 Qh4 28. h3 Qxh3#,0-1,adam_lichess_8layers.pt,Stockfish 0,,40000 nodes,0,1,3,0,27,28,False,False,False,False,adam_lichess_8layers.pt vs. Stockfish 0,29,2.1929967403411865,28,0,"[{'move_number': 12, 'attempted_move': 'Nc5', 'error_type': 'parse_error', 'error_message': ""ambiguous san: 'Nc5' in r1b1k2r/1ppqn1pp/1bn5/p4p2/4N3/1N1PB3/PPP1BPPP/R2Q1RK1 w kq - 0 12"", 'attempt': 1}, {'move_number': 12, 'attempted_move': 'Nc5', 'error_type': 'parse_error', 'error_message': ""ambiguous san: 'Nc5' in r1b1k2r/1ppqn1pp/1bn5/p4p2/4N3/1N1PB3/PPP1BPPP/R2Q1RK1 w kq - 0 12"", 'attempt': 2}, {'move_number': 12, 'attempted_move': 'Nc5', 'error_type': 'parse_error', 'error_message': ""ambiguous san: 'Nc5' in r1b1k2r/1ppqn1pp/1bn5/p4p2/4N3/1N1PB3/PPP1BPPP/R2Q1RK1 w kq - 0 12"", 'attempt': 3}]",[]
