PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,quality_score
ThO7U,2r5/5pk1/4p1np/4Pp2/2r1q3/3R2P1/P2Q1P1P/3RN1K1 b - - 3 33,g6e5 d3e3 e4b7 e3e5,1563,76,96,14574,advantage master middlegame short skewer,https://lichess.org/EE1IfbCh/black#66,,0.7848060116048383
qYQza,2R5/5pk1/8/b6p/8/5P2/3r1BKP/8 w - - 2 40,g2g3 h5h4 g3h4 d2f2,1430,74,95,18762,advantage deflection endgame short,https://lichess.org/IEDTK4kc#79,,0.7816218193810928
vJOMF,1r1r2k1/p1q5/p3p1pB/8/4p3/bP2P2P/P1P1QP2/1K1R3R w - - 3 25,h6f4 c7c3 d1d8 b8d8 f4e5 c3e5,1582,75,95,19608,crushing long middlegame,https://lichess.org/s3BFQiI0#49,,0.7918658171200279
2zfq8,6k1/5Rp1/7p/p1p5/PpP5/1P1Q3P/6PK/q3r3 w - - 8 37,f7a7 a1e5 d3g3 e1h1 h2h1 e5g3,1603,75,97,10292,crushing deflection endgame long,https://lichess.org/Iw9rMdFC#73,,0.7840836438580419
tAX2w,5b2/5pk1/4p1p1/P2pPn1p/3P1P2/3Q2P1/q1NB1KP1/8 w - - 5 41,f2f3 a2c2 d3c2 f5d4 f3f2 d4c2,1507,76,96,10578,advantage attraction capturingDefender deflection endgame fork long master sacrifice,https://lichess.org/bL6XxHYN#81,,0.773204815971207
yk4wh,1q3rk1/p4p2/4pQB1/6P1/1p6/1P6/P1P5/1K6 b - - 0 35,b8d8 g6f7 f8f7 f6d8,1733,75,95,18180,crushing deflection endgame short,https://lichess.org/s8Xln7zF/black#70,,0.7842830334593361
Xrcmk,8/8/8/1P1N4/6p1/6K1/4kp2/8 w - - 2 69,d5c3 e2e1 g3g4 f2f1q,1434,76,95,19040,advancedPawn crushing defensiveMove endgame knightEndgame promotion short,https://lichess.org/IvLIdVMv#137,,0.7789231599774475
ypnKQ,4k3/8/p7/P1P1P1r1/5N1p/1p3K2/1P1B4/8 w - - 2 57,f4g2 h4h3 d2g5 h3h2 f3f2 h2h1q,1660,79,95,16872,advancedPawn advantage endgame long promotion sacrifice,https://lichess.org/ZoWrVS7R#113,,0.7810639530261697
nHPgi,7r/p1p5/1p3R1P/3pk1K1/8/8/PPP5/8 w - - 0 40,g5g6 h8h6 g6h6 e5f6,1525,74,96,30487,crushing deflection endgame rookEndgame short,https://lichess.org/lRYUB6yI#79,,0.8029234967993192
PcjXA,Q7/5Kp1/7p/7P/6k1/8/4q3/8 b - - 8 54,e2f3 a8f3 g4f3 f7g7 f3f4 g7h6 f4f5 h6g7,1537,80,95,21931,crushing endgame queenEndgame veryLong,https://lichess.org/HU5tbaiN/black#108,,0.7829706996369626
